codifier_group;display
Occupation;accountant
Occupation;actor
Occupation;actuary
Occupation;adhesive bonding machine tender
Occupation;adjudicator
Occupation;administrative assistant
Occupation;administrative services manager
Occupation;adult education teacher
Occupation;advertising manager
Occupation;advertising sales agent
Occupation;aerobics instructor
Occupation;aerospace engineer
Occupation;aerospace engineering technician
Occupation;agent
Occupation;agricultural engineer
Occupation;agricultural equipment operator
Occupation;agricultural grader
Occupation;agricultural inspector
Occupation;agricultural manager
Occupation;agricultural sciences teacher
Occupation;agricultural sorter
Occupation;agricultural technician
Occupation;agricultural worker
Occupation;air conditioning installer
Occupation;air conditioning mechanic
Occupation;air traffic controller
Occupation;aircraft cargo handling supervisor
Occupation;aircraft mechanic
Occupation;aircraft service technician
Occupation;airline copilot
Occupation;airline pilot
Occupation;ambulance dispatcher
Occupation;ambulance driver
Occupation;amusement machine servicer
Occupation;anesthesiologist
Occupation;animal breeder
Occupation;animal control worker
Occupation;animal scientist
Occupation;animal trainer
Occupation;animator
Occupation;answering service operator
Occupation;anthropologist
Occupation;apparel patternmaker
Occupation;apparel worker
Occupation;arbitrator
Occupation;archeologist
Occupation;architect
Occupation;architectural drafter
Occupation;architectural manager
Occupation;archivist
Occupation;art director
Occupation;art teacher
Occupation;artist
Occupation;assembler
Occupation;astronomer
Occupation;athlete
Occupation;athletic trainer
Occupation;ATM machine repairer
Occupation;atmospheric scientist
Occupation;attendant
Occupation;audio and video equipment technician
Occupation;audio-visual and multimedia collections specialist
Occupation;audiologist
Occupation;auditor
Occupation;author
Occupation;auto damage insurance appraiser
Occupation;automotive and watercraft service attendant
Occupation;automotive glass installer
Occupation;automotive mechanic
Occupation;avionics technician
Occupation;baggage porter
Occupation;bailiff
Occupation;baker
Occupation;barback
Occupation;barber
Occupation;bartender
Occupation;basic education teacher
Occupation;behavioral disorder counselor
Occupation;bellhop
Occupation;bench carpenter
Occupation;bicycle repairer
Occupation;bill and account collector
Occupation;billing and posting clerk
Occupation;biochemist
Occupation;biological technician
Occupation;biomedical engineer
Occupation;biophysicist
Occupation;blaster
Occupation;blending machine operator
Occupation;blockmason
Occupation;boiler operator
Occupation;boilermaker
Occupation;bookkeeper
Occupation;boring machine tool tender
Occupation;brazer
Occupation;brickmason
Occupation;bridge and lock tender
Occupation;broadcast news analyst
Occupation;broadcast technician
Occupation;brokerage clerk
Occupation;budget analyst
Occupation;building inspector
