id;name;state_id
1;Aba North;2647
2;Aba South;2647
3;Arochukwu;2647
4;Bende;2647
5;Ikwuano;2647
6;Isiala-Ngwa North;2647
7;Isiala-Ngwa South;2647
8;Isuikwuato;2647
9;Obi Ngwa;2647
10;Ohafia;2647
11;Osisioma Ngwa;2647
12;Ugwunagbo;2647
13;Ukwa East;2647
14;Ukwa West;2647
15;Umuahia North;2647
16;Umuahia South;2647
17;Umu-Nneochi;2647
18;Demsa;2649
19;Fufore;2649
20;Ganye;2649
21;Girei;2649
22;Gombi;2649
23;Guyuk;2649
24;Hong;2649
25;Jada;2649
26;Lamurde;2649
27;Madagali;2649
28;Maiha;2649
29;Mayo-Belwa;2649
30;Michika;2649
31;Mubi North;2649
32;Mubi South;2649
33;Numan;2649
34;Shelleng;2649
35;Song;2649
36;Toungo;2649
37;Yola North;2649
38;Yola South;2649
39;Abak;2650
40;Eastern Obolo;2650
41;Eket;2650
42;Esit Eket;2650
43;Essien Udim;2650
44;Etim Ekpo;2650
45;Etinan;2650
46;Ibeno;2650
47;Ibesikpo Asutan;2650
48;Ibiono Ibom;2650
49;Ika;2650
50;Ikono;2650
51;Ikot Abasi;2650
52;Ikot Ekpene;2650
53;Ini;2650
54;Itu;2650
55;Mbo;2650
56;Mkpat Enin;2650
57;Nsit Atai;2650
58;Nsit Ibom;2650
59;Nsit Ubium;2650
60;Obot Akara;2650
61;Okobo;2650
62;Onna;2650
63;Oron;2650
64;Oruk Anam;2650
65;Udung Uko;2650
66;Ukanafun;2650
67;Uruan;2650
68;Urue-Offong/Oruko;2650
69;Uyo;2650
70;Aguata;2651
71;Anambra East;2651
72;Anambra West;2651
73;Anaocha;2651
74;Awka North;2651
75;Awka South;2651
76;Ayamelum;2651
77;Dunukofia;2651
78;Ekwusigo;2651
79;Idemili North;2651
80;Idemili South;2651
81;Ihiala;2651
82;Njikoka;2651
83;Nnewi North;2651
84;Nnewi South;2651
85;Ogbaru;2651
86;Onitsha North;2651
87;Onitsha South;2651
88;Orumba North;2651
89;Orumba South;2651
90;Oyi;2651
91;Alkaleri;2652
92;Bauchi;2652
93;Bogoro;2652
94;Damban;2652
95;Darazo;2652
96;Dass;2652
97;Gamawa;2652
98;Ganjuwa;2652
99;Giade;2652
100;Itas/Gadau;2652
101;Jama''are;2652
102;Katagum;2652
103;Kirfi;2652
104;Misau;2652
105;Ningi;2652
106;Shira;2652
107;Tafawa-Balewa;2652
108;Toro;2652
109;Warji;2652
110;Zaki;2652
111;Brass;2653
112;Ekeremor;2653
113;Kolokuma/Opokuma;2653
114;Nembe;2653
115;Ogbia;2653
116;Sagbama;2653
117;Southern Ijaw;2653
118;Yenegoa;2653
119;Ado;2654
120;Agatu;2654
121;Apa;2654
122;Buruku;2654
123;Gboko;2654
124;Guma;2654
125;Gwer East;2654
126;Gwer West;2654
127;Katsina-Ala;2654
128;Konshisha;2654
129;Kwande;2654
130;Logo;2654
131;Makurdi;2654
132;Obi;2654
133;Ogbadibo;2654
134;Ohimini;2654
135;Oju;2654
136;Okpokwu;2654
137;Oturkpo;2654
138;Tarka;2654
139;Ukum;2654
140;Ushongo;2654
141;Vandeikya;2654
142;Abadam;2655
143;Askira/Uba;2655
144;Bama;2655
145;Bayo;2655
146;Biu;2655
147;Chibok;2655
148;Damboa;2655
149;Dikwa;2655
150;Gubio;2655
151;Guzamala;2655
152;Gwoza;2655
153;Hawul;2655
154;Jere;2655
155;Kaga;2655
156;Kala/Balge;2655
157;Konduga;2655
158;Kukawa;2655
159;Kwaya Kusar;2655
160;Mafa;2655
161;Magumeri;2655
162;Maiduguri;2655
163;Marte;2655
164;Mobbar;2655
165;Monguno;2655
166;Ngala;2655
167;Nganzai;2655
168;Shani;2655
169;Abi;2656
170;Akamkpa;2656
171;Akpabuyo;2656
172;Bakassi;2656
173;Bekwara;2656
174;Biase;2656
175;Boki;2656
176;Calabar Municipal;2656
177;Calabar South;2656
178;Etung;2656
179;Ikom;2656
180;Obanliku;2656
181;Obubra;2656
182;Obudu;2656
183;Odukpani;2656
184;Ogoja;2656
185;Yakurr;2656
186;Yala;2656
187;Aniocha North;2657
188;Aniocha South;2657
189;Bomadi;2657
190;Burutu;2657
191;Ethiope East;2657
192;Ethiope West;2657
193;Ika North East;2657
194;Ika South;2657
195;Isoko North;2657
196;Isoko South;2657
197;Ndokwa East;2657
198;Ndokwa West;2657
199;Okpe;2657
200;Oshimili North;2657
201;Oshimili South;2657
202;Patani;2657
203;Sapele;2657
204;Udu;2657
205;Ughelli North;2657
206;Ughelli South;2657
207;Ukwuani;2657
208;Uvwie;2657
209;Warri North;2657
210;Warri South;2657
211;Warri South West;2657
212;Abakaliki;2658
213;Afikpo North;2658
214;Afikpo South;2658
215;Ebonyi;2658
216;Ezza North;2658
217;Ezza South;2658
218;Ikwo;2658
219;Ishielu;2658
220;Ivo;2658
221;Izzi;2658
222;Ohaozara;2658
223;Ohaukwu;2658
224;Onicha;2658
225;Akoko-Edo;2658
226;Egor;2658
227;Esan Central;2658
228;Esan North East;2658
229;Esan South East;2658
230;Esan West;2658
231;Etsako Central;2658
232;Etsako East;2658
233;Etsako West;2658
234;Igueben;2658
235;Ikpoba-Okha;2658
236;Oredo;2658
237;Orhionmwon;2658
238;Ovia North East;2658
239;Ovia South West;2658
240;Owan East;2658
241;Owan West;2658
242;Uhunmwonde;2658
243;Ado Ekiti;2659
244;Aiyekire;2659
245;Efon;2659
246;Ekiti East;2659
247;Ekiti South West;2659
248;Ekiti West;2659
249;Emure;2659
250;Ido-Osi;2659
251;Ijero;2659
252;Ikere;2659
253;Ikole;2659
254;Ilejemeje;2659
255;Irepodun/Ifelodun;2659
256;Ise/Orun;2659
257;Moba;2659
258;Oye;2659
259;Aninri;2661
260;Awgu;2661
261;Enugu East;2661
262;Enugu North;2661
263;Enugu South;2661
264;Ezeagu;2661
265;Igbo-Etiti;2661
266;Igbo-Eze North;2661
267;Igbo-Eze South;2661
268;Isi-Uzo;2661
269;Nkanu East;2661
270;Nkanu West;2661
271;Nsukka;2661
272;Oji-River;2661
273;Udenu;2661
274;Udi;2661
275;Uzo-Uwani;2661
276;Abaji;2648
277;Abuja Municipal Area Council;2648
278;Bwari;2648
279;Gwagwalada;2648
280;Kuje;2648
281;Kwali;2648
282;Akko;2662
283;Balanga;2662
284;Billiri;2662
285;Dukku;2662
286;Funakaye;2662
287;Gombe;2662
288;Kaltungo;2662
289;Kwami;2662
290;Nafada;2662
291;Shomgom;2662
292;Yamaltu/Deba;2662
293;Abo-Mbaise;2663
294;Ahiazu-Mbaise;2663
295;Ehime-Mbano;2663
296;Ezinihitte;2663
297;Ideato North;2663
298;Ideato South;2663
299;Ihitte/Uboma;2663
300;Ikeduru;2663
301;Isiala-Mbano;2663
302;Isu;2663
303;Mbaitoli;2663
304;Ngor-Okpala;2663
305;Njaba;2663
306;Nkwerre;2663
307;Nwangele;2663
308;Obowo;2663
309;Oguta;2663
310;Ohaji/Egbema;2663
311;Okigwe;2663
312;Orlu;2663
313;Orsu;2663
314;Oru East;2663
315;Oru West;2663
316;Owerri-Municipal;2663
317;Owerri North;2663
318;Owerri West;2663
319;Unuimo;2663
320;Auyo;2664
321;Babura;2664
322;Biriniwa;2664
323;Birnin Kudu;2664
324;Buji;2664
325;Dutse;2664
326;Gagarawa;2664
327;Garki;2664
328;Gumel;2664
329;Guri;2664
330;Gwaram;2664
331;Gwiwa;2664
332;Hadejia;2664
333;Jahun;2664
334;Kafin Hausa;2664
335;Kaugama;2664
336;Kazaure;2664
337;Kiri Kasama;2664
338;Kiyawa;2664
339;Maigatari;2664
340;Malam Madori;2664
341;Miga;2664
342;Ringim;2664
343;Roni;2664
344;Sule Tankarkar;2664
345;Taura;2664
346;Yankwashi;2664
347;Birnin-Gwari;17
348;Chikun;2665
349;Giwa;2665
350;Igabi;2665
351;Ikara;2665
352;Jaba;2665
353;Jema''a;2665
354;Kachia;2665
355;Kaduna North;2665
356;Kaduna South;2665
357;Kagarko;2665
358;Kajuru;2665
359;Kaura;2665
360;Kauru;2665
361;Kubau;2665
362;Kudan;2665
363;Lere;2665
364;Makarfi;2665
365;Sabon-Gari;2665
366;Sanga;2665
367;Soba;2665
368;Zangon-Kataf;2665
369;Zaria;2665
370;Ajingi;2666
371;Albasu;2666
372;Bagwai;2666
373;Bebeji;2666
374;Bichi;2666
375;Bunkure;2666
376;Dala;2666
377;Dambatta;2666
378;Dawakin Kudu;2666
379;Dawakin Tofa;2666
380;Doguwa;2666
381;Fagge;2666
382;Gabasawa;2666
383;Garko;2666
384;Garum Mallam;2666
385;Gaya;2666
386;Gezawa;2666
387;Gwale;2666
388;Gwarzo;2666
389;Kabo;2666
390;Kano Municipal;2666
391;Karaye;2666
392;Kibiya;2666
393;Kiru;2666
394;Kumbotso;2666
395;Kunchi;2666
396;Kura;2666
397;Madobi;2666
398;Makoda;2666
399;Minjibir;2666
400;Nasarawa;2666
401;Rano;2666
402;Rimin Gado;2666
403;Rogo;2666
404;Shanono;2666
405;Sumaila;2666
406;Takai;2666
407;Tarauni;2666
408;Tofa;2666
409;Tsanyawa;2666
410;Tudun Wada;2666
411;Ungogo;2666
412;Warawa;2666
413;Wudil;2666
414;Bakori;2667
415;Batagarawa;2667
416;Batsari;2667
417;Baure;2667
418;Bindawa;2667
419;Charanchi;2667
420;Dandume;2667
421;Danja;2667
422;Dan Musa;2667
423;Daura;2667
424;Dutsi;2667
425;Dutsin-Ma;2667
426;Faskari;2667
427;Funtua;2667
428;Ingawa;2667
429;Jibia;2667
430;Kafur;2667
431;Kaita;2667
432;Kankara;2667
433;Kankia;2667
434;Katsina;2667
435;Kurfi;2667
436;Kusada;2667
437;Mai''adua;2667
438;Malumfashi;2667
439;Mani;2667
440;Mashi;2667
441;Matazu;2667
442;Musawa;2667
443;Rimi;2667
444;Sabuwa;2667
445;Safana;2667
446;Sandamu;2667
447;Zango;2667
448;Aleiro;2668
449;Arewa-Dandi;2668
450;Argungu;2668
451;Augie;2668
452;Bagudo;2668
453;Birnin Kebbi;2668
454;Bunza;2668
455;Dandi;2668
456;Fakai;2668
457;Gwandu;2668
458;Jega;2668
459;Kalgo;2668
460;Koko/Besse;2668
461;Maiyama;2668
462;Ngaski;2668
463;Sakaba;2668
464;Shanga;2668
465;Suru;2668
466;Wasagu/Danko;2668
467;Yauri;2668
468;Zuru;2668
469;Adavi;2669
470;Ajaokuta;2669
471;Ankpa;2669
472;Bassa;2669
473;Dekina;2669
474;Ibaji;2669
475;Idah;2669
476;Igalamela-Odolu;2669
477;Ijumu;2669
478;Kabba/Bunu;2669
479;Kogi;2669
480;Lokoja;2669
481;Mopa-Muro;2669
482;Ofu;2669
483;Ogori/Magongo;2669
484;Okehi;2669
485;Okene;2669
486;Olamabolo;2669
487;Omala;2669
488;Yagba East;2669
489;Yagba West;2669
490;Asa;2670
491;Baruten;2670
492;Edu;2670
493;Ekiti;2670
494;Ifelodun;2670
495;Ilorin East;2670
496;Ilorin South;2670
497;Ilorin West;2670
498;Irepodun;2670
499;Isin;2670
500;Kaiama;2670
501;Moro;2670
502;Offa;2670
503;Oke-Ero;2670
504;Oyun;2670
505;Pategi;2670
506;Agege;2671
507;Ajeromi-Ifelodun;2671
508;Alimosho;2671
509;Amuwo-Odofin;2671
510;Apapa;2671
511;Badagry;2671
512;Epe;2671
513;Eti-Osa;2671
514;Ibeju/Lekki;2671
515;Ifako-Ijaye;2671
516;Ikeja;2671
517;Ikorodu;2671
518;Kosofe;2671
519;Lagos Island;2671
520;Lagos Mainland;2671
521;Mushin;2671
522;Ojo;2671
523;Oshodi-Isolo;2671
524;Shomolu;2671
525;Surulere;2671
526;Akwanga;2672
527;Awe;2672
528;Doma;2672
529;Karu;2672
530;Keana;2672
531;Keffi;2672
532;Kokona;2672
533;Lafia;2672
534;Nasarawa;2672
535;Nasarawa-Eggon;2672
536;Obi;2672
537;Toto;2672
538;Wamba;2672
539;Agaie;2673
540;Agwara;2673
541;Bida;2673
542;Borgu;2673
543;Bosso;2673
544;Chanchaga;2673
545;Edati;2673
546;Gbako;2673
547;Gurara;2673
548;Katcha;2673
549;Kontagora;2673
550;Lapai;2673
551;Lavun;2673
552;Magama;2673
553;Mariga;2673
554;Mashegu;2673
555;Mokwa;2673
556;Muya;2673
557;Paikoro;2673
558;Rafi;2673
559;Rijau;2673
560;Shiroro;2673
561;Suleja;2673
562;Tafa;2673
563;Wushishi;2673
564;Abeokuta North;26
565;Abeokuta South;26
